timestamp,whisker1_1,whisker2_2
1714396629.0045953,[12.07190635],[30.98646336]
1714396629.014918,[12.07190635],[30.98646336]
1714396629.0252075,[14.78612748],[34.44208852]
1714396629.0354934,[14.78612748],[34.44208852]
1714396629.0457842,[16.5532628],[37.18088465]
1714396629.0560567,[16.5532628],[37.18088465]
1714396629.0663393,[18.53394192],[40.29405368]
1714396629.0766318,[18.53394192],[40.29405368]
1714396629.0870402,[21.33171827],[44.04455934]
1714396629.0973105,[21.33171827],[44.04455934]
1714396629.107831,[24.22367657],[47.29113634]
1714396629.1183693,[24.22367657],[47.29113634]
1714396629.1286438,[27.21994662],[50.72083669]
1714396629.1390436,[27.21994662],[50.72083669]
1714396629.1493182,[30.50830394],[54.52764351]
1714396629.1595998,[30.50830394],[54.52764351]
1714396629.1698794,[34.09740914],[57.72603866]
1714396629.1801815,[34.09740914],[57.72603866]
1714396629.1904564,[38.06344855],[60.97876829]
1714396629.200765,[38.06344855],[60.97876829]
1714396629.2111897,[42.54114006],[64.24115265]
1714396629.221461,[42.54114006],[64.24115265]
1714396629.2317452,[47.53640303],[66.60520684]
1714396629.2421362,[52.85188775],[68.89387737]
1714396629.2524388,[52.85188775],[68.89387737]
1714396629.2627165,[57.77434365],[70.87958303]
1714396629.272952,[57.77434365],[70.87958303]
1714396629.283235,[61.96290394],[73.26333616]
1714396629.2935157,[61.96290394],[73.26333616]
1714396629.3037934,[65.1606298],[75.0944439]
1714396629.3140712,[65.1606298],[75.0944439]
1714396629.3243666,[67.65663196],[76.14486407]
1714396629.3348515,[67.65663196],[76.14486407]
1714396629.3451471,[69.23610183],[77.31556906]
1714396629.3554304,[69.23610183],[77.31556906]
1714396629.3657146,[69.44040159],[77.99560603]
1714396629.3759887,[69.44040159],[77.99560603]
1714396629.3862658,[69.27739148],[78.65525137]
1714396629.3965688,[69.27739148],[78.65525137]
1714396629.407041,[68.94545733],[79.35050134]
1714396629.4173467,[68.94545733],[79.35050134]
1714396629.4278252,[67.94756611],[79.64287356]
1714396629.438101,[67.94756611],[79.64287356]
1714396629.4484425,[66.22431955],[79.41546269]
1714396629.4587514,[66.22431955],[79.41546269]
1714396629.4690304,[63.32045022],[78.85350052]
1714396629.4793339,[63.32045022],[78.85350052]
1714396629.4896352,[60.51672472],[78.31982791]
1714396629.4999368,[60.51672472],[78.31982791]
1714396629.5102332,[57.57969653],[78.26454453]
1714396629.520527,[57.57969653],[78.26454453]
1714396629.5308166,[54.07722283],[78.52447964]
1714396629.5411005,[54.07722283],[78.52447964]
1714396629.5514042,[51.0180389],[78.08761488]
1714396629.5616806,[48.26543877],[76.85355639]
1714396629.5719562,[48.26543877],[76.85355639]
1714396629.582373,[45.6071512],[75.81583454]
1714396629.5926611,[45.6071512],[75.81583454]
1714396629.6029384,[42.94420804],[74.95263945]
1714396629.6132329,[42.94420804],[74.95263945]
1714396629.6235023,[40.34652577],[73.88411557]
1714396629.6337974,[40.34652577],[73.88411557]
1714396629.6440659,[37.69633973],[72.48927428]
1714396629.6543717,[37.69633973],[72.48927428]
1714396629.6646626,[35.24914093],[70.51695372]
1714396629.6749504,[35.24914093],[70.51695372]
1714396629.6852334,[32.31025031],[67.49186998]
1714396629.6955097,[32.31025031],[67.49186998]
1714396629.705934,[29.1161801],[64.14914853]
1714396629.716225,[29.1161801],[64.14914853]
1714396629.7264957,[26.30517946],[61.46725431]
1714396629.7367966,[26.30517946],[61.46725431]
1714396629.7470696,[23.79120473],[58.19869359]
1714396629.7573683,[23.79120473],[58.19869359]
1714396629.7676365,[21.94530044],[54.61076105]
1714396629.7779317,[21.94530044],[54.61076105]
1714396629.7882156,[20.1555772],[52.09774497]
1714396629.798481,[20.1555772],[52.09774497]
1714396629.8087823,[18.37253746],[49.65476931]
1714396629.8190625,[18.37253746],[49.65476931]
1714396629.8293726,[16.79809174],[46.67924331]
1714396629.8396332,[16.79809174],[46.67924331]
1714396629.849984,[15.0288072],[43.32376279]
1714396629.8602633,[15.0288072],[43.32376279]
1714396629.8705451,[13.13247413],[40.266322]
1714396629.880838,[13.13247413],[40.266322]
1714396629.891135,[11.57376297],[37.89103261]
1714396629.9015331,[10.40651314],[35.54472135]
1714396629.9118404,[10.40651314],[35.54472135]
1714396629.9221375,[10.40651314],[35.54472135]
1714396629.9324667,[9.40769822],[34.07526314]
1714396629.9427545,[8.19913197],[32.69803265]
1714396629.9530394,[8.19913197],[32.69803265]
1714396629.9633317,[6.51328311],[30.08418854]
1714396629.9739404,[6.51328311],[30.08418854]
1714396629.9842324,[4.94492],[27.6946157]
1714396629.994528,[4.94492],[27.6946157]
1714396630.0048246,[3.25727826],[26.44595032]
1714396630.0151331,[3.25727826],[26.44595032]
1714396630.0254643,[1.5545022],[25.52362169]
1714396630.0357807,[1.5545022],[25.52362169]
1714396630.0461445,[0.24399971],[23.6619193]
1714396630.0564678,[0.24399971],[23.6619193]
1714396630.0667572,[-1.0100229],[21.889821]
1714396630.077005,[-1.0100229],[21.889821]
1714396630.0872955,[-1.74116411],[21.42769563]
1714396630.097593,[-1.74116411],[21.42769563]
1714396630.1078815,[-1.89506797],[22.02020952]
1714396630.11817,[-1.89506797],[22.02020952]
